query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
25a,2,9,14,1.9037823112456091,319480.0,295.39406774656504,1192.5837954522426,6.396844645909607
25b,2,9,14,1.3228751864712127,34190.0,22568.628898947147,69942.28314113554,51.32532429251031
25c,2,9,14,2.7942834844585107,378769.25,390.5666020893319,755.781559936225,2.3771126203869284
26a,2,12,17,34.37260510306062,41145539.0,2413623.641774388,4761951.067343499,721.3306533785152
26b,2,12,17,2.328125493101791,21175984.0,25030539.279612083,34740025.18907715,4634.634769946071
26c,2,12,17,3.9894773331998987,125474088.0,268062.3808168307,893572.8603474918,78.90545373208835
33a,2,14,19,38.08911091804485,448098.0,52733.7751000969,157866.24583767072,19.165940089640355
33b,2,14,19,3.4099960027831604,448098.0,870326.176001175,3752259.4442259977,593.390911188517
33c,2,14,19,2.149260488982833,1229760.0,119296.99072198974,353801.114470675,5.400147483317946
27a,3,12,21,1.3701931167957184,1760956.0,70262.95087970745,162297.7765503842,248.88593230443234
27b,3,12,21,1.3273702840756618,1760956.0,163252.58046268616,312242.664846885,47.71230291593161
27c,3,12,21,4.266296073363409,3884358.0,191004.97125407463,471623.01829190686,584.3094527683502
28a,3,14,23,20.001224452843772,5442981.0,3168860.3391796974,8825438.928870905,838.012308116185
28b,3,14,23,1.1166754357677444,550766.0,1824228.5262045914,8762668.070602959,1560.0412279460916
28c,3,14,23,1.5198348569410967,2842381.0,17642437.331922702,55614305.51652374,23732.909315793204
30a,3,12,21,3.8835463102163477,1020203.0,23432.686443825976,82465.87448336995,55.487934086911345
30b,3,12,21,1.6441862114620842,1020203.0,2388298.7070869436,5284480.099169319,3467.1042933648896
30c,3,12,21,14.34420134228188,3406616.0,7021.928105973694,30162.80677406854,15.112015357612682
31a,3,11,20,2.819280187991023,4311915.666666667,17223.486016878534,64959.14716496755,44.09455867632657
31b,3,11,20,2.0825007340806265,369660.0,116168.23429446598,164150.36052295507,146.50930791363442
31c,3,11,20,4.3440169966724165,6153261.75,24429.385614501687,61329.20882208289,48.68690600739153
29a,3,17,28,21.489222560441906,792947549.0,2174361938.003391,5468202274.143342,12419.124285582368
29b,3,17,28,10.874338349257627,126154056.0,688963242.0945895,2448607018.9732227,7449.057870858117
29c,3,17,28,216.07886718113906,2057893916.0,2358471221.953309,6566136598.978873,3558.3319769817863
